RESPONDENTID,Main_P6a_Thich_Total_OE_1,Main_P6a_Thich_Total_OE_2,Main_P6a_Thich_Total_OE_3,Main_P6a_Thich_Total_OE_4,Main_P6a_Thich_Total_OE_5,Main_P6a_Thich_Total_OE_6,Main_P6a_Thich_Total_OE_7,Main_P6a_Thich_Y1_OE_1,Main_P6a_Thich_Y1_OE_2,Main_P6a_Thich_Y1_OE_3,Main_P6a_Thich_Y1_OE_4,Main_P6a_Thich_Y1_OE_5,Main_P6a_Thich_Y1_OE_6,Main_P6a_Thich_Y1_OE_7,Main_P6a_Thich_Y2_OE_1,Main_P6a_Thich_Y2_OE_2,Main_P6a_Thich_Y2_OE_3,Main_P6a_Thich_Y2_OE_4,Main_P6a_Thich_Y2_OE_5,Main_P6a_Thich_Y2_OE_6,Main_P6a_Thich_Y2_OE_7,Main_P6b_Khong_Thich_Total_OE_1,Main_P6b_Khong_Thich_Total_OE_2,Main_P6b_Khong_Thich_Total_OE_3,Main_P6b_Khong_Thich_Y1_OE_1,Main_P6b_Khong_Thich_Y1_OE_2,Main_P6b_Khong_Thich_Y1_OE_3,Main_P6b_Khong_Thich_Y2_OE_1,Main_P6b_Khong_Thich_Y2_OE_2,Main_P6b_Khong_Thich_Y2_OE_3,Main_P10a_Thich_Nuoc_dung_OE_1,Main_P10a_Thich_Nuoc_dung_OE_2,Main_P10a_Thich_Nuoc_dung_OE_3,Main_P10a_Thich_Nuoc_dung_OE_4,Main_P10a_Thich_Nuoc_dung_OE_5,Main_P10a_Thich_Nuoc_dung_OE_6,Main_P10a_Thich_Nuoc_dung_OE_7,Main_P10b_Khong_Thich_Nuoc_dung_OE_1,Main_P10b_Khong_Thich_Nuoc_dung_OE_2,Main_P10b_Khong_Thich_Nuoc_dung_OE_3,Main_P10b_Khong_Thich_Nuoc_dung_OE_4,Main_P100a_Total_OE_1,Main_P100a_Total_OE_2,Main_P100a_Total_OE_3,Main_P100a_Total_OE_4,Main_P100a_Total_OE_5,Main_P100a_Total_OE_6,Main_P100a_Total_OE_7,Main_P100a_Y1_OE_1,Main_P100a_Y1_OE_2,Main_P100a_Y1_OE_3,Main_P100a_Y1_OE_4,Main_P100a_Y1_OE_5,Main_P100a_Y1_OE_6,Main_P100a_Y1_OE_7,Main_P100a_Y2_OE_1,Main_P100a_Y2_OE_2,Main_P100a_Y2_OE_3,Main_P100a_Y2_OE_4,Main_P100a_Y2_OE_5,Main_P100a_Y2_OE_6,Main_P100a_Y2_OE_7
2026_732,301,105,401,,,,,301,105,,,,,,401,,,,,,,202,,,202,,,99999,,,202,206,303,,,,,302,901,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2026_927,201,103,301,401,,,,201,103,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,302,304,303,204,,,,901,,,,201,802,712,,,,,201,802,712,,,,,99999,,,,,,
2027_732,201,401,,,,,,201,,,,,,,401,,,,,,,99999,,,99999,,,99999,,,207,,,,,,,301,,,,203,704,,,,,,203,,,,,,,704,,,,,,
2027_927,401,,,,,,,401,,,,,,,99999,,,,,,,201,,,201,,,99999,,,99999,,,,,,,306,309,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2028_732,201,301,103,,,,,201,301,,,,,,103,,,,,,,99999,,,99999,,,99999,,,302,305,304,207,,,,99999,,,,713,201,504,,,,,713,,,,,,,201,504,,,,,
2028_927,201,301,401,908,103,,,201,301,,,,,,401,908,103,,,,,99999,,,99999,,,99999,,,102,304,,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2029_732,301,202,,,,,,301,202,,,,,,301,,,,,,,99999,,,99999,,,99999,,,209,303,302,,,,,306,,,,702,705,203,,,,,702,705,,,,,,203,,,,,,
2029_927,102,901,401,,,,,102,901,,,,,,401,,,,,,,201,,,201,,,99999,,,102,201,,,,,,312,313,303,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2030_732,201,907,301,401,105,,,201,907,,,,,,301,401,105,,,,,99999,,,99999,,,99999,,,303,302,202,206,204,,,99999,,,,710,602,603,203,906,,,710,602,603,,,,,203,906,,,,,
2030_927,201,402,403,301,105,,,201,402,403,,,,,301,105,,,,,,99999,,,99999,,,99999,,,302,307,309,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2031_732,201,103,301,402,,,,201,103,,,,,,301,402,,,,,,99999,,,99999,,,99999,,,302,303,209,,,,,901,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2031_927,103,902,201,301,402,,,103,902,,,,,,201,301,402,,,,,905,,,905,,,99999,,,303,302,305,201,,,,204,,,,706,707,,,,,,706,707,,,,,,99999,,,,,,
2032_732,201,301,,,,,,201,,,,,,,301,,,,,,,99999,,,99999,,,99999,,,99999,,,,,,,302,304,206,207,99999,,,,,,,99999,,,,,,,99999,,,,,,
