RESPONDENTID,Main_P6a_Thich_Total_OE_1,Main_P6a_Thich_Total_OE_2,Main_P6a_Thich_Total_OE_3,Main_P6a_Thich_Total_OE_4,Main_P6a_Thich_Total_OE_5,Main_P6a_Thich_Total_OE_6,Main_P6a_Thich_Total_OE_7,Main_P6a_Thich_Y1_OE_1,Main_P6a_Thich_Y1_OE_2,Main_P6a_Thich_Y1_OE_3,Main_P6a_Thich_Y1_OE_4,Main_P6a_Thich_Y1_OE_5,Main_P6a_Thich_Y1_OE_6,Main_P6a_Thich_Y1_OE_7,Main_P6a_Thich_Y2_OE_1,Main_P6a_Thich_Y2_OE_2,Main_P6a_Thich_Y2_OE_3,Main_P6a_Thich_Y2_OE_4,Main_P6a_Thich_Y2_OE_5,Main_P6a_Thich_Y2_OE_6,Main_P6a_Thich_Y2_OE_7,Main_P6b_Khong_Thich_Total_OE_1,Main_P6b_Khong_Thich_Total_OE_2,Main_P6b_Khong_Thich_Total_OE_3,Main_P6b_Khong_Thich_Y1_OE_1,Main_P6b_Khong_Thich_Y1_OE_2,Main_P6b_Khong_Thich_Y1_OE_3,Main_P6b_Khong_Thich_Y2_OE_1,Main_P6b_Khong_Thich_Y2_OE_2,Main_P6b_Khong_Thich_Y2_OE_3,Main_P10a_Thich_Nuoc_dung_OE_1,Main_P10a_Thich_Nuoc_dung_OE_2,Main_P10a_Thich_Nuoc_dung_OE_3,Main_P10a_Thich_Nuoc_dung_OE_4,Main_P10a_Thich_Nuoc_dung_OE_5,Main_P10a_Thich_Nuoc_dung_OE_6,Main_P10a_Thich_Nuoc_dung_OE_7,Main_P10b_Khong_Thich_Nuoc_dung_OE_1,Main_P10b_Khong_Thich_Nuoc_dung_OE_2,Main_P10b_Khong_Thich_Nuoc_dung_OE_3,Main_P10b_Khong_Thich_Nuoc_dung_OE_4,Main_P100a_Total_OE_1,Main_P100a_Total_OE_2,Main_P100a_Total_OE_3,Main_P100a_Total_OE_4,Main_P100a_Total_OE_5,Main_P100a_Total_OE_6,Main_P100a_Total_OE_7,Main_P100a_Y1_OE_1,Main_P100a_Y1_OE_2,Main_P100a_Y1_OE_3,Main_P100a_Y1_OE_4,Main_P100a_Y1_OE_5,Main_P100a_Y1_OE_6,Main_P100a_Y1_OE_7,Main_P100a_Y2_OE_1,Main_P100a_Y2_OE_2,Main_P100a_Y2_OE_3,Main_P100a_Y2_OE_4,Main_P100a_Y2_OE_5,Main_P100a_Y2_OE_6,Main_P100a_Y2_OE_7
2053_927,201,401,102,301,,,,201,401,102,,,,,301,,,,,,,99999,,,99999,,,99999,,,302,303,305,901,,,,205,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2054_732,104,201,302,401,,,,104,201,302,,,,,401,,,,,,,99999,,,99999,,,99999,,,102,303,304,,,,,210,,,,702,709,501,101,710,,,702,709,,,,,,501,101,710,,,,
2054_927,201,301,401,,,,,201,,,,,,,301,401,,,,,,103,,,103,,,99999,,,102,303,304,,,,,204,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2055_732,201,907,301,401,103,,,201,907,,,,,,301,401,103,,,,,99999,,,99999,,,99999,,,302,303,305,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2055_927,201,902,301,401,907,103,,201,902,,,,,,301,401,907,103,,,,99999,,,99999,,,99999,,,201,205,301,307,,,,99999,,,,707,712,,,,,,707,712,,,,,,99999,,,,,,
2056_732,102,201,301,401,,,,102,,,,,,,201,301,401,,,,,99999,,,99999,,,99999,,,302,304,206,303,101,901,,99999,,,,711,602,,,,,,711,,,,,,,602,,,,,,
2056_927,102,201,301,401,,,,102,,,,,,,201,301,401,,,,,99999,,,99999,,,99999,,,901,201,303,304,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2057_732,103,907,301,,,,,103,907,,,,,,301,,,,,,,902,,,902,,,99999,,,302,102,303,350,,,,99999,,,,705,702,,,,,,705,702,,,,,,99999,,,,,,
2057_927,201,401,301,907,105,,,201,401,,,,,,301,907,105,,,,,99999,,,99999,,,99999,,,302,201,103,,,,,311,204,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2058_732,202,301,401,104,,,,202,,,,,,,301,401,104,,,,,99999,,,99999,,,99999,,,302,305,,,,,,301,,,,702,705,709,,,,,702,705,709,,,,,99999,,,,,,
2058_927,902,201,,,,,,902,,,,,,,201,,,,,,,902,904,104,902,904,,104,,,305,306,,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2059_732,201,,,,,,,201,,,,,,,99999,,,,,,,99999,,,99999,,,99999,,,302,206,303,305,,,,99999,,,,703,702,705,709,602,,,703,702,705,709,,,,602,,,,,,
2059_927,301,105,,,,,,301,,,,,,,105,,,,,,,99999,,,99999,,,99999,,,102,,,,,,,311,204,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2060_732,201,401,901,102,,,,201,401,,,,,,901,102,,,,,,99999,,,99999,,,99999,,,302,303,,,,,,99999,,,,702,705,602,604,,,,702,705,,,,,,602,604,,,,,
2060_927,201,102,301,401,,,,201,102,,,,,,301,401,,,,,,904,,,904,,,99999,,,302,206,102,906,,,,306,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2061_732,201,105,301,401,,,,201,,,,,,,105,301,401,,,,,99999,,,99999,,,99999,,,302,304,303,207,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2061_927,201,103,301,401,,,,201,,,,,,,103,301,401,,,,,99999,,,99999,,,99999,,,302,205,303,305,102,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2062_732,201,401,402,301,102,,,201,401,402,,,,,301,102,,,,,,99999,,,99999,,,99999,,,102,202,303,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2062_927,201,302,102,,,,,201,,,,,,,302,102,,,,,,99999,,,99999,,,99999,,,201,205,301,307,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2063_732,201,103,301,401,,,,201,,,,,,,103,301,401,,,,,99999,,,99999,,,99999,,,302,303,209,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2063_927,201,401,103,301,,,,201,401,,,,,,103,301,,,,,,99999,,,99999,,,99999,,,303,,,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2064_732,301,901,103,201,401,,,301,,,,,,,901,103,201,401,,,,99999,,,99999,,,99999,,,302,101,305,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2064_927,201,902,301,401,,,,201,902,,,,,,301,401,,,,,,101,,,101,,,99999,,,305,303,,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2065_732,201,901,401,103,,,,201,901,,,,,,401,103,,,,,,301,,,301,,,99999,,,302,206,204,102,901,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2065_927,103,201,401,,,,,103,,,,,,,201,401,,,,,,301,,,301,,,99999,,,302,303,205,102,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2066_732,201,103,301,,,,,201,103,,,,,,103,301,,,,,,99999,,,99999,,,99999,,,302,304,206,202,204,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2066_927,103,301,401,,,,,103,,,,,,,301,401,,,,,,202,,,202,,,99999,,,302,304,102,208,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2067_732,201,102,301,401,,,,201,,,,,,,102,301,401,,,,,99999,,,99999,,,99999,,,302,303,304,204,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2067_927,201,401,301,102,,,,201,401,,,,,,301,102,,,,,,99999,,,99999,,,99999,,,302,304,305,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2068_732,401,102,301,201,,,,401,,,,,,,102,301,201,,,,,99999,,,99999,,,99999,,,302,102,206,303,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2068_927,301,201,402,,,,,301,,,,,,,201,402,,,,,,99999,,,99999,,,99999,,,201,906,,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2069_732,201,401,902,101,301,,,201,401,902,,,,,101,301,,,,,,99999,,,99999,,,99999,,,302,303,206,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2069_927,907,401,201,105,301,,,907,401,201,,,,,105,301,,,,,,99999,,,99999,,,99999,,,307,309,302,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2070_732,201,901,301,401,103,,,201,901,,,,,,301,401,103,,,,,99999,,,99999,,,99999,,,302,303,102,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2070_927,201,302,401,,,,,201,,,,,,,302,401,,,,,,101,,,101,,,99999,,,305,303,,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2071_732,202,301,,,,,,202,,,,,,,301,,,,,,,99999,,,99999,,,99999,,,303,,,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2071_927,202,402,301,103,,,,202,402,,,,,,301,103,,,,,,99999,,,99999,,,99999,,,302,303,309,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2072_732,301,103,201,401,302,,,301,,,,,,,103,201,401,302,,,,99999,,,99999,,,99999,,,302,303,209,204,206,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2072_927,301,201,401,,,,,301,,,,,,,201,401,,,,,,99999,,,99999,,,99999,,,305,303,,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2073_732,202,105,301,401,,,,202,,,,,,,105,301,401,,,,,99999,,,99999,,,99999,,,302,304,303,305,202,206,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2073_927,202,103,907,301,401,,,202,,,,,,,103,907,301,401,,,,99999,,,99999,,,99999,,,302,304,303,305,205,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2074_732,201,301,105,401,,,,201,301,,,,,,105,401,,,,,,99999,,,99999,,,99999,,,302,303,304,305,306,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2074_927,202,103,301,401,,,,202,,,,,,,103,301,401,,,,,99999,,,99999,,,99999,,,304,205,,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2075_732,201,301,902,401,103,,,201,301,902,,,,,401,103,,,,,,99999,,,99999,,,99999,,,302,350,,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2075_927,201,402,301,103,901,,,201,402,301,103,,,,901,,,,,,,906,,,906,,,99999,,,102,205,201,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2076_732,301,103,201,401,,,,301,,,,,,,103,201,401,,,,,99999,,,99999,,,99999,,,302,303,310,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2076_927,201,103,301,401,,,,201,,,,,,,103,301,401,,,,,99999,,,99999,,,99999,,,102,205,305,304,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2077_732,201,103,301,401,,,,201,,,,,,,103,301,401,,,,,99999,,,99999,,,99999,,,302,303,202,209,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2077_927,202,103,301,401,,,,202,,,,,,,103,301,401,,,,,99999,,,99999,,,99999,,,201,205,304,303,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2078_732,201,102,301,401,,,,201,,,,,,,102,301,401,,,,,99999,,,99999,,,99999,,,302,303,207,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2078_927,201,103,301,401,,,,201,,,,,,,103,301,401,,,,,99999,,,99999,,,99999,,,305,304,205,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2079_732,201,102,301,,,,,201,,,,,,,102,301,,,,,,99999,,,99999,,,99999,,,305,303,,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2079_927,201,907,102,301,401,402,,201,907,,,,,,102,301,401,402,,,,99999,,,99999,,,99999,,,302,303,305,205,309,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2080_732,301,105,201,401,,,,301,,,,,,,105,201,401,,,,,99999,,,99999,,,99999,,,302,303,209,204,206,305,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2080_927,201,105,301,401,,,,201,,,,,,,105,301,401,,,,,99999,,,99999,,,99999,,,305,,,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2081_732,202,105,301,401,,,,202,,,,,,,105,301,401,,,,,99999,,,99999,,,99999,,,302,303,305,209,202,206,207,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2081_927,201,105,401,,,,,201,,,,,,,105,401,,,,,,302,,,302,,,99999,,,302,205,305,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2082_732,201,103,301,401,,,,201,,,,,,,103,301,401,,,,,99999,,,99999,,,99999,,,302,304,202,206,305,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2082_927,201,301,102,401,,,,201,301,,,,,,102,401,,,,,,99999,,,99999,,,99999,,,305,307,205,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2083_732,301,402,102,,,,,301,402,,,,,,102,,,,,,,202,,,202,,,99999,,,102,303,204,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2083_927,201,301,402,,,,,201,301,402,,,,,99999,,,,,,,101,,,101,,,99999,,,102,205,303,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2084_732,201,301,401,,,,,201,,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,207,303,,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2084_927,201,102,301,401,,,,201,,,,,,,102,301,401,,,,,99999,,,99999,,,99999,,,302,304,303,907,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2085_732,201,102,301,401,,,,201,,,,,,,102,301,401,,,,,99999,,,99999,,,99999,,,302,204,202,206,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2085_927,202,103,907,301,401,,,202,103,,,,,,907,301,401,,,,,99999,,,99999,,,99999,,,302,303,205,305,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2086_732,301,103,201,401,,,,301,,,,,,,103,201,401,,,,,99999,,,99999,,,99999,,,305,303,,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2086_927,201,301,102,401,,,,201,301,,,,,,102,401,,,,,,99999,,,99999,,,99999,,,305,205,,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2087_732,201,301,401,,,,,201,,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,302,206,209,305,303,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2087_927,201,102,301,401,,,,201,,,,,,,102,301,401,,,,,99999,,,99999,,,99999,,,303,304,205,203,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2088_732,201,102,301,401,,,,201,102,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,302,303,202,206,305,102,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2088_927,201,102,301,401,,,,201,,,,,,,102,301,401,,,,,99999,,,99999,,,99999,,,302,305,205,901,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2089_732,201,901,105,301,401,,,201,,,,,,,901,105,301,401,,,,99999,,,99999,,,99999,,,305,202,206,209,303,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2089_927,202,103,301,401,,,,202,,,,,,,103,301,401,,,,,99999,,,99999,,,99999,,,305,205,304,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2090_732,201,103,301,401,,,,201,,,,,,,103,301,401,,,,,99999,,,99999,,,99999,,,302,303,305,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2090_927,201,902,102,301,401,,,201,902,,,,,,102,301,401,,,,,99999,,,99999,,,99999,,,305,201,304,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
